"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","1960",0.700946,
"AUS","PPP","TOT","NATUSD","A","1961",0.701324,
"AUS","PPP","TOT","NATUSD","A","1962",0.68799,
"AUS","PPP","TOT","NATUSD","A","1963",0.698321,
"AUS","PPP","TOT","NATUSD","A","1964",0.708346,
"AUS","PPP","TOT","NATUSD","A","1965",0.705945,
"AUS","PPP","TOT","NATUSD","A","1966",0.70894,
"AUS","PPP","TOT","NATUSD","A","1967",0.711321,
"AUS","PPP","TOT","NATUSD","A","1968",0.70353,
"AUS","PPP","TOT","NATUSD","A","1969",0.70688,
"AUS","PPP","TOT","NATUSD","A","1970",0.686037,
"AUS","PPP","TOT","NATUSD","A","1971",0.694715,
"AUS","PPP","TOT","NATUSD","A","1972",0.713834,
"AUS","PPP","TOT","NATUSD","A","1973",0.765748,
"AUS","PPP","TOT","NATUSD","A","1974",0.8257,
"AUS","PPP","TOT","NATUSD","A","1975",0.860821,
"AUS","PPP","TOT","NATUSD","A","1976",0.922783,
"AUS","PPP","TOT","NATUSD","A","1977",0.953008,
"AUS","PPP","TOT","NATUSD","A","1978",0.963085,
"AUS","PPP","TOT","NATUSD","A","1979",0.975888,
"AUS","PPP","TOT","NATUSD","A","1980",0.983053,
"AUS","PPP","TOT","NATUSD","A","1981",0.986677,
"AUS","PPP","TOT","NATUSD","A","1982",1.041494,
"AUS","PPP","TOT","NATUSD","A","1983",1.087682,
"AUS","PPP","TOT","NATUSD","A","1984",1.111634,
"AUS","PPP","TOT","NATUSD","A","1985",1.138866,
"AUS","PPP","TOT","NATUSD","A","1986",1.192512,
"AUS","PPP","TOT","NATUSD","A","1987",1.243406,
"AUS","PPP","TOT","NATUSD","A","1988",1.301244,
"AUS","PPP","TOT","NATUSD","A","1989",1.350266,
"AUS","PPP","TOT","NATUSD","A","1990",1.365074,
"AUS","PPP","TOT","NATUSD","A","1991",1.347968,
"AUS","PPP","TOT","NATUSD","A","1992",1.328112,
"AUS","PPP","TOT","NATUSD","A","1993",1.312347,
"AUS","PPP","TOT","NATUSD","A","1994",1.300571,
"AUS","PPP","TOT","NATUSD","A","1995",1.310418,
"AUS","PPP","TOT","NATUSD","A","1996",1.311735,
"AUS","PPP","TOT","NATUSD","A","1997",1.307666,
"AUS","PPP","TOT","NATUSD","A","1998",1.299857,
"AUS","PPP","TOT","NATUSD","A","1999",1.29695,
"AUS","PPP","TOT","NATUSD","A","2000",1.311512,
